"nnd_mean","nnd_sd","nnd_count","nnd_cv","lek_id","data_label","date"
16.2054886226173,3.48157715659603,162,0.214839381747301,"TalChhapar_TC","12OCT",2012-10-01
15.5859347496597,5.01888133442728,193,0.322013495824294,"TalChhapar_TC","14FEB",2014-02-01
17.3900093762498,4.82161161435275,127,0.277263313091585,"TalChhapar_TC","15NOV",2015-11-01
19.7794688812883,5.80739751191436,106,0.293607353502209,"TalChhapar_TC","15DEC",2015-12-01
18.856465021403,7.5944544259913,241,0.402750696770112,"TalChhapar_TC","18JAN",2018-01-01
17.5273304314435,6.47093066080921,159,0.369190886548276,"TalChhapar_TC","18NOV",2018-11-01
18.7462621194189,6.87111972516365,151,0.366532788317623,"TalChhapar_TC","19OCT",2019-10-01
18.1977411060801,5.96454262546352,163,0.327762802575023,"TalChhapar_TC","21FEB",2021-02-01
18.384672439854,5.26875697588446,135,0.286584218082827,"TalChhapar_TC","22MAR",2022-03-01
14.4289070803408,5.18078422174158,284,0.359055900276767,"TalChhapar_TC","23DEC",2023-12-01
27.6117092334388,17.4705566474733,43,0.632722751777925,"Velavadar_LEK1","13DEC",2013-12-01
19.9067112005141,17.4406486860932,73,0.876119038972283,"Velavadar_LEK1","14FEB",2014-02-01
22.6166193981089,9.26415287801562,37,0.409617048195552,"Velavadar_LEK1","14OCT",2014-10-01
21.9667978346746,8.91384417464531,83,0.405787144841603,"Velavadar_LEK1","15MAY",2015-05-01
26.4600815280319,13.4180895172755,48,0.507106884877143,"Velavadar_LEK1","15NOV",2015-11-01
21.7051871476449,14.3027393511935,102,0.658954896537042,"Velavadar_LEK1","16JAN",2016-01-01
12.2159535034039,7.41948446683702,102,0.607360241242701,"Velavadar_LEK1","16NOV",2016-11-01
14.1028142836428,8.18243259816471,63,0.580198564172765,"Velavadar_LEK1","18OCT",2018-10-01
14.8451854944148,9.59445216213644,82,0.646300591241934,"Velavadar_LEK1","18NOV",2018-11-01
22.6380393192482,10.2161596833209,69,0.451282884495856,"Velavadar_LEK1","21MAR",2021-03-01
29.7322599644462,18.1573640818898,32,0.61069572590857,"Velavadar_LEK1","21DEC",2021-12-01
37.5425129725283,19.5079011576412,12,0.51962161328721,"Velavadar_LEK1","22DEC",2022-12-01
63.4533066762803,25.4187229246338,7,0.400589413792295,"Velavadar_LEK1","24MAY",2024-05-01
65.8655454226716,40.9717171731253,25,0.622050829613602,"Velavadar_LEK2","14FEB",2014-02-01
49.1042664452567,66.84394663888,76,1.36126555751322,"Velavadar_LEK2","15MAY",2015-05-01
88.4564250158219,43.2466295267966,19,0.488903203120194,"Velavadar_LEK2","15NOV",2015-11-01
22.3494074270161,17.1984422050055,117,0.769525646761262,"Velavadar_LEK2","16JAN",2016-01-01
38.8352782841249,32.0396832815996,63,0.825014901327405,"Velavadar_LEK2","16NOV",2016-11-01
43.5048423044962,27.5580008319306,49,0.633446746894254,"Velavadar_LEK2","18OCT",2018-10-01
27.6958271806835,14.0498723621099,109,0.507292028884013,"Velavadar_LEK2","18NOV",2018-11-01
28.4960383425718,21.3437803424617,152,0.749008689764958,"Velavadar_LEK2","21MAR",2021-03-01
28.0535585330695,38.0651483040408,95,1.35687414697033,"Velavadar_LEK2","21DEC",2021-12-01
23.7474883008676,48.2375384690486,109,2.03126906971826,"Velavadar_LEK2","22DEC",2022-12-01
27.5918385449211,20.7426118752593,265,0.751766209471293,"Velavadar_LEK2","24MAY",2024-05-01
